ticket,area,direccion_entidad,Seccion,Manzana,Parcela,fecha_inspeccion
DGHySA-319302,Establecimientos y Productos Alimenticios,BALBASTRO 1000,38,31,011A,01/12/2021
DGHySA-319695,Establecimientos y Productos Alimenticios,TRIUNVIRATO AV. 4531,51,58,22,01/12/2021
DGHySA-319731,Establecimientos y Productos Alimenticios,BALLIVIAN 2338,49,49,006d,06/12/2021
DGHySA-319235,Establecimientos y Productos Alimenticios,COSQUIN 2028,76,110,13,06/12/2021
DGHySA-319754,Establecimientos y Productos Alimenticios,JUNIN 81,9,58,012A,05/03/2000
DGHySA-319756,Establecimientos y Productos Alimenticios,JUNIN 36,9,50,32,12/01/2000
DGHySA-319757,Establecimientos y Productos Alimenticios,PASTEUR 35,9,42,019a,06/12/2021
DGHySA-319766,Establecimientos y Productos Alimenticios,CALLAO AV. 1352,11,79,49,06/12/2021
DGHySA-319335,Establecimientos y Productos Alimenticios,MONROE 5246,51,43,5,06/12/2021
DGHySA-319433,Establecimientos y Productos Alimenticios,CUENCA 1920,79,143A,14,01/01/2000
DGHySA-319570,Establecimientos y Productos Alimenticios,ALVAREZ JONTE AV. 3301,81,145A,22,31/12/1999
DGHySA-319571,Establecimientos y Productos Alimenticios,ALVAREZ JONTE AV. 3201,81,158A,1,14/01/2000
DGHySA-319441,Establecimientos y Productos Alimenticios,JURAMENTO 4102,51,109B,1,11/01/2000
DGHySA-319593,Establecimientos y Productos Alimenticios,OLAZABAL 4102,51,104,001c,06/12/2021
DGHySA-319594,Establecimientos y Productos Alimenticios,ECHEVERRIA 4272,51,101,005b,06/12/2021
DGHySA-319540,Establecimientos y Productos Alimenticios,RIVADAVIA AV. 8301,77,98,25,06/12/2021
DGHySA-319541,Establecimientos y Productos Alimenticios,RIVADAVIA AV. 8282,54,158,12,06/12/2021
DGHySA-319898,Establecimientos y Productos Alimenticios,DONADO 1887,51,100,002c,13/01/2000
DGHySA-319595,Establecimientos y Productos Alimenticios,ECHEVERRIA 4230,51,101,001e,06/12/2021
DGHySA-319901,Establecimientos y Productos Alimenticios,ECHEVERRIA 4264,51,101,005b,30/11/2021
DGHySA-319581,Establecimientos y Productos Alimenticios,DEMARIA 4677,21,90,11,06/12/2021
DGHySA-319904,Establecimientos y Productos Alimenticios,GODOY CRUZ 2905,,,,06/12/2021
DGHySA-319444,Establecimientos y Productos Alimenticios,ARRIBEÑOS 2186,25,050B,001B,06/12/2021
DGHySA-319445,Establecimientos y Productos Alimenticios,MENDOZA 1673,25,57,17,06/12/2021
DGHySA-319906,Establecimientos y Productos Alimenticios,TRIUNVIRATO AV. 3863,49,44,15,06/12/2021
DGHySA-319907,Establecimientos y Productos Alimenticios,TRIUNVIRATO AV. 3755,49,44,26,06/12/2021
DGHySA-319446,Establecimientos y Productos Alimenticios,ARRIBEÑOS 2272,25,051A,14,06/12/2021
DGHySA-319447,Establecimientos y Productos Alimenticios,ECHEVERRIA 1677,25,55,013A,06/12/2021
DGHySA-319448,Establecimientos y Productos Alimenticios,ECHEVERRIA 1401,25,69,15,06/12/2021
DGHySA-319076,Establecimientos y Productos Alimenticios,CASEROS AV. 734,8,35,6,06/12/2021
DGHySA-319422,Establecimientos y Productos Alimenticios,AGUIRRE 1473,33,33,0,06/12/2021
DGHySA-319093,Establecimientos y Productos Alimenticios,DEAN FUNES 1821,24,16,49,06/12/2021
DGHySA-319423,Establecimientos y Productos Alimenticios,EL SALVADOR 5528,35,30,3,06/12/2021
DGHySA-319095,Establecimientos y Productos Alimenticios,LA RIOJA 1846,24,16,19,02/12/2021
DGHySA-319572,Establecimientos y Productos Alimenticios,JUNIN 1400,11,48,1,02/12/2021
DGHySA-319439,Establecimientos y Productos Alimenticios,SARMIENTO AV. 3502,21,149,0,02/12/2021
DGHySA-319568,Establecimientos y Productos Alimenticios,JUNCAL 2201,11,19,032A,15/01/2000
DGHySA-319565,Establecimientos y Productos Alimenticios,FRENCH 2417,11,9,022B,02/12/2021
DGHySA-319573,Establecimientos y Productos Alimenticios,ALVAREZ JONTE AV. 3199,69,1,14,06/12/2021
DGHySA-319913,Establecimientos y Productos Alimenticios,ALVAREZ JONTE AV. 3297,81,158A,020A,25/03/2000
DGHySA-319330,Establecimientos y Productos Alimenticios,MUÑIZ 2147,38,133,026A,06/12/2021
DGHySA-319334,Establecimientos y Productos Alimenticios,SARAZA 470,38,126,009B,05/01/2000
DGHySA-319336,Establecimientos y Productos Alimenticios,ASAMBLEA AV. 153,40,121,18,09/02/2000
DGHySA-319522,Establecimientos y Productos Alimenticios,JURAMENTO 1635,25,56,28,06/12/2021
DGHySA-319418,Establecimientos y Productos Alimenticios,ESTOMBA 4307,55,260B,0FRB,19/11/2021
DGHySA-319417,Establecimientos y Productos Alimenticios,RUIZ HUIDOBRO AV. 3853,55,260B,001a,19/11/2021
DGHySA-319419,Establecimientos y Productos Alimenticios,ARIAS 3775,43,012D,12,19/11/2021
DGHySA-319916,Establecimientos y Productos Alimenticios,OTAMENDI 63,45,125,14,19/11/2021
DGHySA-319917,Establecimientos y Productos Alimenticios,OTAMENDI 19,45,125,17,06/12/2021
DGHySA-319918,Establecimientos y Productos Alimenticios,OTAMENDI 101,45,126,019A,06/12/2021
DGHySA-319921,Establecimientos y Productos Alimenticios,JURAMENTO 3100,39,55,8,08/01/2000
DGHySA-319530,Establecimientos y Productos Alimenticios,IBARROLA 7052,72,055B,3,02/12/2021
DGHySA-319406,Establecimientos y Productos Alimenticios,FRANKLIN 1836,57,33,001A,06/12/2021
DGHySA-319407,Establecimientos y Productos Alimenticios,GALICIA 1857,59,36,33,07/12/2021
DGHySA-319617,Establecimientos y Productos Alimenticios,CUENCA 3302,81,170,31,07/12/2021
DGHySA-319517,Establecimientos y Productos Alimenticios,CABILDO AV. 2502,41,152,009c,07/12/2021
DGHySA-319415,Establecimientos y Productos Alimenticios,ROJAS 1554,47,17,38,07/12/2021
DGHySA-319841,Establecimientos y Productos Alimenticios,MONROE 2767,41,119,16,07/12/2021
DGHySA-318600,Establecimientos y Productos Alimenticios,LIBERTAD 581,5,55,5,07/12/2021
DGHySA-319936,Establecimientos y Productos Alimenticios,UGARTECHE 3208,21,73,20,07/12/2021
DGHySA-319922,Establecimientos y Productos Alimenticios,MOLDES 1543,37,135,5,07/12/2021
DGHySA-319940,Establecimientos y Productos Alimenticios,MOLDES 1505,37,135,9,07/12/2021
DGHySA-319395,Establecimientos y Productos Alimenticios,CARACAS 10,65,81,20,07/12/2021
DGHySA-319616,Establecimientos y Productos Alimenticios,CUENCA 3312,81,170,31,07/12/2021
DGHySA-319396,Establecimientos y Productos Alimenticios,FRAY CAYETANO RODRIGUEZ 95,65,81,005b,07/12/2021
DGHySA-319397,Establecimientos y Productos Alimenticios,YERBAL 2370,65,81,005a,07/12/2021
DGHySA-319398,Establecimientos y Productos Alimenticios,LA PORTEÑA 54,65,041B,26,07/12/2021
DGHySA-319450,Establecimientos y Productos Alimenticios,CONGRESO 2104,27,25,001B,07/12/2021
DGHySA-319452,Establecimientos y Productos Alimenticios,11 DE SEPTIEMBRE DE 1888 2451,25,053B,010A,07/12/2021
DGHySA-319453,Establecimientos y Productos Alimenticios,11 DE SEPTIEMBRE DE 1888 2465,25,053B,9,07/12/2021
DGHySA-319454,Establecimientos y Productos Alimenticios,CABILDO AV. 3371,27,8,004B,07/12/2021
DGHySA-318719,Establecimientos y Productos Alimenticios,LAFINUR 3368,21,80,033A,07/12/2021
DGHySA-319605,Establecimientos y Productos Alimenticios,CERVIÑO AV. 3893,21,74,12,07/12/2021
DGHySA-319429,Establecimientos y Productos Alimenticios,BOGOTA 2594,65,63,008B,07/12/2021
DGHySA-319587,Establecimientos y Productos Alimenticios,ESTADO PLURINACIONAL DE BOLIVIA 417,65,64,014A,07/12/2021
DGHySA-319588,Establecimientos y Productos Alimenticios,AVELLANEDA AV. 2763,65,45,25,07/12/2021
DGHySA-319548,Establecimientos y Productos Alimenticios,JUJUY AV. 195,28,68,008E,07/12/2021
DGHySA-319424,Establecimientos y Productos Alimenticios,BONPLAND 1324,,,,07/12/2021
DGHySA-319421,Establecimientos y Productos Alimenticios,GODOY CRUZ 2320,,,,07/12/2021
DGHySA-319941,Establecimientos y Productos Alimenticios,AVELLANEDA 2719,65,45,032B,07/12/2021
DGHySA-318806,Establecimientos y Productos Alimenticios,BASAVILBASO 1295,3,46,3,07/12/2021
DGHySA-318807,Establecimientos y Productos Alimenticios,JUNCAL 690,3,46,3,07/12/2021
DGHySA-319546,Establecimientos y Productos Alimenticios,SANTIAGO DEL ESTERO 747,12,32,043A,07/12/2021
DGHySA-319554,Establecimientos y Productos Alimenticios,SALTA 680,12,51,19,07/12/2021
DGHySA-319963,Establecimientos y Productos Alimenticios,MEDRANO AV. 757,17,94,16,07/12/2021
DGHySA-319965,Establecimientos y Productos Alimenticios,MEDRANO AV. 921,17,96,12,07/12/2021
DGHySA-319551,Establecimientos y Productos Alimenticios,CHILE 1390,12,32,14,07/12/2021
DGHySA-319968,Establecimientos y Productos Alimenticios,CHILE 1354,12,32,8,07/12/2021
DGHySA-319969,Establecimientos y Productos Alimenticios,CORDOBA AV. 3451,15,16,19,20/01/2000
DGHySA-319761,Establecimientos y Productos Alimenticios,MONROE 1493,27,105,18,07/12/2021
DGHySA-320116,Establecimientos y Productos Alimenticios,MONTAÑESES 2484,25,59,001c,19/01/2000
DGHySA-319635,Establecimientos y Productos Alimenticios,YERBAL 2931,65,21,19,07/12/2021
DGHySA-319796,Establecimientos y Productos Alimenticios,YERBAL 2931,65,21,19,07/12/2021
DGHySA-319547,Establecimientos y Productos Alimenticios,JUJUY AV. 214,20,5,011b,07/12/2021
DGHySA-319549,Establecimientos y Productos Alimenticios,MORENO 2895,28,67,13,11/02/2000
DGHySA-319649,Establecimientos y Productos Alimenticios,CRAMER AV. 2491,39,73,7,09/02/2000
DGHySA-319650,Establecimientos y Productos Alimenticios,VIDAL 2228,39,71,15,06/12/2021
DGHySA-319652,Establecimientos y Productos Alimenticios,MENDOZA 2711,39,78,18,06/12/2021
DGHySA-319653,Establecimientos y Productos Alimenticios,MOLDES 2117,39,84,014A,19/01/2000
DGHySA-319643,Establecimientos y Productos Alimenticios,DIAZ VELEZ AV. 5401,45,65,29,07/12/2021
DGHySA-319802,Establecimientos y Productos Alimenticios,SOLDADO DE LA INDEPENDENCIA 792,23,93,1,07/12/2021
DGHySA-319804,Establecimientos y Productos Alimenticios,MIGUELETES 987,23,121,19,31/12/1999
DGHySA-320168,Establecimientos y Productos Alimenticios,MOSCONI GENERAL AV. 2500,,,,07/12/2021
DGHySA-319787,Establecimientos y Productos Alimenticios,DIAZ VELEZ AV. 5439,45,65,26,06/12/2021
DGHySA-319739,Establecimientos y Productos Alimenticios,OBISPO SAN ALBERTO 3629,83,160A,19,07/12/2021
DGHySA-319741,Establecimientos y Productos Alimenticios,OBISPO SAN ALBERTO 3702,83,137,1,11/01/2000
DGHySA-319742,Establecimientos y Productos Alimenticios,CUENCA 5226,83,255A,15,07/12/2021
DGHySA-319760,Establecimientos y Productos Alimenticios,AVENIDA DEL LIBERTADOR 6375,25,73,012B,07/12/2021
DGHySA-319762,Establecimientos y Productos Alimenticios,MONROE 1490,25,73,10,07/12/2021
DGHySA-319801,Establecimientos y Productos Alimenticios,MAURE 1725,23,95,017B,07/12/2021
DGHySA-319631,Establecimientos y Productos Alimenticios,YERBAL 2908,65,20,001b,07/12/2021
DGHySA-319737,Establecimientos y Productos Alimenticios,ALVAREZ JONTE AV. 4072,79,60,19,30/12/1999
DGHySA-319909,Establecimientos y Productos Alimenticios,FLORIDA 165,1,26,6,30/12/1999
DGHySA-320175,Establecimientos y Productos Alimenticios,MAURE 1615,23,110,31,07/12/2021
DGHySA-319803,Establecimientos y Productos Alimenticios,MIGUELETES 921,23,121,025A,07/12/2021
DGHySA-319219,Establecimientos y Productos Alimenticios,FORMOSA 136,40,130,4,07/12/2021
DGHySA-319204,Establecimientos y Productos Alimenticios,CACHIMAYO 1735,44,159,045A,16/01/2000
DGHySA-319205,Establecimientos y Productos Alimenticios,CACHIMAYO 1657,44,160,40,07/12/2021
DGHySA-319647,Establecimientos y Productos Alimenticios,NAZCA AV. 1395,67,040B,011B,07/12/2021
DGHySA-319827,Establecimientos y Productos Alimenticios,NAZCA AV. 1700,67,031A,1,07/12/2021
DGHySA-319655,Establecimientos y Productos Alimenticios,CIUDAD DE LA PAZ 1502,37,146,23,07/12/2021
DGHySA-319656,Establecimientos y Productos Alimenticios,CABILDO AV. 1525,23,48,013h,30/12/1999
DGHySA-319657,Establecimientos y Productos Alimenticios,CIUDAD DE LA PAZ 924,37,140,21,30/12/1999
DGHySA-319124,Establecimientos y Productos Alimenticios,BELGRANO AV. 3767,36,118,025C,06/06/2000
DGHySA-319125,Establecimientos y Productos Alimenticios,REPUBLICA BOLIVARIANA DE VENEZUELA 3259,28,29,28,08/12/2021
DGHySA-319127,Establecimientos y Productos Alimenticios,AGRELO 3231,28,28,008b,02/05/2000
DGHySA-319826,Establecimientos y Productos Alimenticios,NAZCA AV. 1117,67,38,10,01/01/2000
DGHySA-319207,Establecimientos y Productos Alimenticios,PUAN 360,42,74,011A,14/01/2000
DGHySA-320185,Establecimientos y Productos Alimenticios,CERRITO 560,,,,08/12/2021
DGHySA-320202,Establecimientos y Productos Alimenticios,CORDOBA AV. 1451,7,32,013a,07/12/2021
DGHySA-319203,Establecimientos y Productos Alimenticios,SARAZA 1353,44,160,000B,19/01/2000
DGHySA-319223,Establecimientos y Productos Alimenticios,MONROE 3061,41,86,006B,07/12/2021
DGHySA-319224,Establecimientos y Productos Alimenticios,MONROE 3000,39,66,004M,07/12/2021
DGHySA-319225,Establecimientos y Productos Alimenticios,ROOSEVELT FRANKLIN D. 3060,,,,07/12/2021
DGHySA-319226,Establecimientos y Productos Alimenticios,CONGRESO AV. 3045,41,90,029A,07/12/2021
DGHySA-319199,Establecimientos y Productos Alimenticios,YERBAL 1548,57,49,7,31/01/2000
DGHySA-319198,Establecimientos y Productos Alimenticios,RIVADAVIA AV. 6065,57,49,7,01/01/2000
DGHySA-319816,Establecimientos y Productos Alimenticios,RIVADAVIA AV. 10957,95,27,025B,07/12/2021
DGHySA-320376,Establecimientos y Productos Alimenticios,RIVADAVIA AV. 11300,72,87,009a,07/12/2021
DGHySA-319400,Establecimientos y Productos Alimenticios,GORRITI 5744,35,4,5,02/12/2021
DGHySA-319401,Establecimientos y Productos Alimenticios,GORRITI 5740,35,4,5,02/12/2021
DGHySA-319402,Establecimientos y Productos Alimenticios,NICARAGUA 5732,35,60,3,07/01/2000
DGHySA-320000,Establecimientos y Productos Alimenticios,RIVADAVIA AV. 11202,72,87,001e,07/12/2021
DGHySA-320002,Establecimientos y Productos Alimenticios,RIVADAVIA AV. 11206,72,87,001e,07/12/2021
DGHySA-320023,Establecimientos y Productos Alimenticios,ARENALES 999,3,23,013A,07/12/2021
DGHySA-320399,Establecimientos y Productos Alimenticios,AVENIDA SANTA FE 928,3,21,003a,07/12/2021
DGHySA-319711,Establecimientos y Productos Alimenticios,PICO 2689,43,165,002m,07/12/2021
DGHySA-319785,Establecimientos y Productos Alimenticios,HIDALGO 383,45,71,11,07/12/2021
DGHySA-319713,Establecimientos y Productos Alimenticios,BESARES 2990,43,131,004B,13/03/2000
DGHySA-319712,Establecimientos y Productos Alimenticios,RUIZ HUIDOBRO 2643,43,159,26,09/12/2021
DGHySA-320022,Establecimientos y Productos Alimenticios,PARRAL 268,45,042C,2,09/12/2021
DGHySA-319987,Establecimientos y Productos Alimenticios,RIVADAVIA AV. 1999,9,66,21,09/12/2021
DGHySA-319990,Establecimientos y Productos Alimenticios,JUNIN 148,9,51,39,09/12/2021
DGHySA-319994,Establecimientos y Productos Alimenticios,RIVADAVIA AV. 2067,9,58,22,07/12/2021
DGHySA-320400,Establecimientos y Productos Alimenticios,PASTEUR 582,9,39,1,07/12/2021
DGHySA-320003,Establecimientos y Productos Alimenticios,SAN PEDRO 6808,76,88,2,09/12/2021
DGHySA-320010,Establecimientos y Productos Alimenticios,DE LOS CORRALES AV. 6718,76,103,001C,09/12/2021
DGHySA-319704,Establecimientos y Productos Alimenticios,SIMBRON 5821,,,,09/12/2021
DGHySA-320401,Establecimientos y Productos Alimenticios,ACOYTE AV. 95,45,79,007A,09/12/2021
DGHySA-319985,Establecimientos y Productos Alimenticios,SARANDI 795,20,51,1,09/12/2021
DGHySA-319986,Establecimientos y Productos Alimenticios,MEXICO 2000,20,60,011H,09/12/2021
DGHySA-320008,Establecimientos y Productos Alimenticios,DE LOS CORRALES AV. 6738,76,103,003A,08/02/2000
DGHySA-320402,Establecimientos y Productos Alimenticios,ROSARIO 400,40,102,007A,09/12/2021
DGHySA-319832,Establecimientos y Productos Alimenticios,MACHAIN 4008,55,167,18,22/03/2000
DGHySA-319220,Establecimientos y Productos Alimenticios,AVENIDA LA PLATA 623,40,142,004U,31/12/1999
DGHySA-319900,Establecimientos y Productos Alimenticios,ESTADOS UNIDOS 1970,22,60,8,09/12/2021
DGHySA-320073,Establecimientos y Productos Alimenticios,VALLE 1099,40,19,022A,22/03/2000
DGHySA-320405,Establecimientos y Productos Alimenticios,AVENIDA SANTA FE 904,3,21,1,09/12/2021
DGHySA-319897,Establecimientos y Productos Alimenticios,ARRIBEÑOS 3198,27,74,1,09/12/2021
DGHySA-320020,Establecimientos y Productos Alimenticios,HIDALGO 363,45,71,14,20/01/2000
DGHySA-320021,Establecimientos y Productos Alimenticios,AVELLANEDA 598,45,71,007H,09/12/2021
DGHySA-319879,Establecimientos y Productos Alimenticios,CASTILLO 1702,33,47,1,09/12/2021
DGHySA-319874,Establecimientos y Productos Alimenticios,ROSETI 391,33,50,018a,09/12/2021
DGHySA-320039,Establecimientos y Productos Alimenticios,ARRIBEÑOS 2173,25,56,11,09/12/2021
DGHySA-320407,Establecimientos y Productos Alimenticios,NAHUEL HUAPI 5120,63,114,0,09/12/2021
DGHySA-320327,Establecimientos y Productos Alimenticios,MONROE 4911,53,001A,008F,09/12/2021
DGHySA-320330,Establecimientos y Productos Alimenticios,OLAZABAL 4800,51,64,22,09/12/2021
DGHySA-320331,Establecimientos y Productos Alimenticios,OLAZABAL AV. 4832,51,57,5,09/12/2021
DGHySA-320408,Establecimientos y Productos Alimenticios,NAHUEL HUAPI 5120,63,114,0,09/12/2021
DGHySA-320410,Establecimientos y Productos Alimenticios,NAHUEL HUAPI 5120,63,114,0,09/12/2021
DGHySA-320412,Establecimientos y Productos Alimenticios,NAHUEL HUAPI 5120,63,114,0,09/12/2021
DGHySA-320413,Establecimientos y Productos Alimenticios,ELCANO AV. 3850,49,161,000A,09/12/2021
DGHySA-320077,Establecimientos y Productos Alimenticios,ARRIBEÑOS 2598,27,68,001E,09/12/2021
DGHySA-320075,Establecimientos y Productos Alimenticios,ARRIBEÑOS 2766,27,70,27,09/12/2021
DGHySA-320414,Establecimientos y Productos Alimenticios,MONROE 1700,25,59,010F,09/01/2000
DGHySA-320353,Establecimientos y Productos Alimenticios,DORREGO 2209,35,77,23,06/12/2021
DGHySA-319977,Establecimientos y Productos Alimenticios,CARABOBO AV. 162,42,9,019B,06/12/2021
DGHySA-319979,Establecimientos y Productos Alimenticios,CAMACUA 167,48,134,023b,06/12/2021
DGHySA-320416,Establecimientos y Productos Alimenticios,DORREGO AV. 2800,,,,09/12/2021
DGHySA-320417,Establecimientos y Productos Alimenticios,DORREGO AV. 2800,,,,09/12/2021
DGHySA-320418,Establecimientos y Productos Alimenticios,DORREGO AV. 2800,,,,31/12/1999
DGHySA-320419,Establecimientos y Productos Alimenticios,DORREGO AV. 2800,,,,09/12/2021
DGHySA-320420,Establecimientos y Productos Alimenticios,DORREGO AV. 2800,,,,09/12/2021
DGHySA-320421,Establecimientos y Productos Alimenticios,DORREGO AV. 2800,,,,09/12/2021
DGHySA-319513,Establecimientos y Productos Alimenticios,CARABOBO AV. 289,48,153,27,29/01/2000
DGHySA-319976,Establecimientos y Productos Alimenticios,CARABOBO AV. 289,48,153,27,09/12/2021
DGHySA-319221,Establecimientos y Productos Alimenticios,SENILLOSA 650,40,141,12,09/12/2021
DGHySA-320426,Establecimientos y Productos Alimenticios,REGIMIENTO DE PATRICIOS AV. 1586,10,57,16,09/12/2021
DGHySA-320427,Establecimientos y Productos Alimenticios,REGIMIENTO DE PATRICIOS AV. 1585,10,42,28,13/07/2000
DGHySA-320428,Establecimientos y Productos Alimenticios,REGIMIENTO DE PATRICIOS AV. 980,10,63,010B,10/12/2021
DGHySA-319970,Establecimientos y Productos Alimenticios,DIRECTORIO AV. 5383,62,63,17,10/12/2021
DGHySA-319971,Establecimientos y Productos Alimenticios,MIRALLA 1598,62,63,016B,10/12/2021
DGHySA-319708,Establecimientos y Productos Alimenticios,TINOGASTA 5046,87,38,004A,09/12/2021
DGHySA-320437,Establecimientos y Productos Alimenticios,AVENIDA DEL LIBERTADOR 6021,25,70,015e,10/12/2021
DGHySA-319972,Establecimientos y Productos Alimenticios,DIRECTORIO AV. 5702,62,8,001D,10/12/2021
DGHySA-319586,Establecimientos y Productos Alimenticios,CORVALAN 1514,62,90,003A,10/12/2021
DGHySA-320441,Establecimientos y Productos Alimenticios,BULNES 250,17,101,004B,10/12/2021
DGHySA-320440,Establecimientos y Productos Alimenticios,CORDOBA AV. 3521,15,1,28,10/12/2021
DGHySA-320442,Establecimientos y Productos Alimenticios,CORDOBA AV. 4001,31,96,15,10/12/2021
DGHySA-319882,Establecimientos y Productos Alimenticios,MUÑECAS 1325,47,122A,017A,10/12/2021
DGHySA-319885,Establecimientos y Productos Alimenticios,MARTINEZ ROSAS 1343,47,102,14,10/12/2021
DGHySA-319887,Establecimientos y Productos Alimenticios,ROJAS 2027,47,035A,12,10/12/2021
DGHySA-319195,Establecimientos y Productos Alimenticios,COLPAYO 132,45,29,001B,10/12/2021
DGHySA-320450,Establecimientos y Productos Alimenticios,MONROE AV. 1402,25,73,001A,10/12/2021
DGHySA-320451,Establecimientos y Productos Alimenticios,AVENIDA DEL LIBERTADOR 6391,25,73,10,10/12/2021
DGHySA-320452,Establecimientos y Productos Alimenticios,MONROE AV. 1600,25,59,001c,10/12/2021
DGHySA-319890,Establecimientos y Productos Alimenticios,GUEMES 4892,19,160,007A,10/12/2021
DGHySA-320163,Establecimientos y Productos Alimenticios,TRIUNVIRATO AV. 5101,63,116,4,10/12/2021
DGHySA-320164,Establecimientos y Productos Alimenticios,CAPDEVILA 3156,63,119,014G,10/12/2021
DGHySA-320165,Establecimientos y Productos Alimenticios,ANDONAEGUI 3347,63,97,14,10/12/2021
DGHySA-320228,Establecimientos y Productos Alimenticios,CORRIENTES AV. 4147,17,71,28,10/12/2021
DGHySA-320572,Establecimientos y Productos Alimenticios,CORRIENTES AV. 4174,17,70,10,10/12/2021
DGHySA-320227,Establecimientos y Productos Alimenticios,CORRIENTES AV. 3901,17,93,31,10/12/2021
DGHySA-320203,Establecimientos y Productos Alimenticios,SAN PEDRITO 3697,52,104,001A,10/12/2021
DGHySA-320278,Establecimientos y Productos Alimenticios,LAGUNA 1461,54,107,041B,10/12/2021
DGHySA-320282,Establecimientos y Productos Alimenticios,LAGUNA 1375,54,108,37,10/12/2021
DGHySA-320204,Establecimientos y Productos Alimenticios,TABARE 3354,52,5,5,10/12/2021
DGHySA-320206,Establecimientos y Productos Alimenticios,CORRALES 3396,52,6,10,10/12/2021
DGHySA-320601,Establecimientos y Productos Alimenticios,CHARCAS 3173,,,,10/12/2021
DGHySA-320132,Establecimientos y Productos Alimenticios,CORRIENTES AV. 3992,17,92,12,10/12/2021
DGHySA-320600,Establecimientos y Productos Alimenticios,CASTAÑARES AV. 1101,44,184,001C,10/12/2021
DGHySA-320122,Establecimientos y Productos Alimenticios,NOGOYA 6169,93,042A,18,10/12/2021
DGHySA-320244,Establecimientos y Productos Alimenticios,NOGOYA 6143,93,042A,20,16/01/2000
DGHySA-320605,Establecimientos y Productos Alimenticios,TINOGASTA 5793,93,127,19,10/12/2021
DGHySA-320045,Establecimientos y Productos Alimenticios,CORRIENTES AV. 529,,,,10/12/2021
DGHySA-320608,Establecimientos y Productos Alimenticios,BARCO CENTENERA del 2279,44,166,001C,10/12/2021
DGHySA-320609,Establecimientos y Productos Alimenticios,CORDOBA AV. 3989,19,4,20,10/12/2021
DGHySA-319672,Establecimientos y Productos Alimenticios,COSTA RICA 4600,19,65,010A,10/12/2021
DGHySA-320232,Establecimientos y Productos Alimenticios,CURAPALIGUE 972,42,33,007A,09/12/2021
DGHySA-319811,Establecimientos y Productos Alimenticios,COSTA RICA 4582,19,65,007B,21/04/2000
DGHySA-320611,Establecimientos y Productos Alimenticios,CURAPALIGUE 940,42,33,4,09/12/2021
DGHySA-320612,Establecimientos y Productos Alimenticios,CORDOBA AV. 3921,19,4,026C,10/12/2021
DGHySA-320024,Establecimientos y Productos Alimenticios,SAN PEDRITO 1137,50,83,7,10/12/2021
DGHySA-320106,Establecimientos y Productos Alimenticios,BARCO CENTENERA del 1313,44,185,7,10/12/2021
DGHySA-320615,Establecimientos y Productos Alimenticios,YATAY 461,17,29,30,31/12/1999
DGHySA-319997,Establecimientos y Productos Alimenticios,CONDE 223,35,009A,000A,10/12/2021
DGHySA-319812,Establecimientos y Productos Alimenticios,COSTA RICA 4560,19,65,6,10/12/2021
DGHySA-320026,Establecimientos y Productos Alimenticios,VARELA AV. 1040,48,89,10,10/12/2021
DGHySA-320270,Establecimientos y Productos Alimenticios,PIEDRA BUENA AV. 4080,80,044A,6,10/12/2021
DGHySA-320620,Establecimientos y Productos Alimenticios,ARGENTINA AV. 6064,78,101,34,10/12/2021
DGHySA-320197,Establecimientos y Productos Alimenticios,MONTEAGUDO 298,24,9,22,18/01/2000
DGHySA-320621,Establecimientos y Productos Alimenticios,MONTEAGUDO 106,24,10,015a,14/01/2000
DGHySA-320048,Establecimientos y Productos Alimenticios,FLORIDA 156,1,018B,1,10/12/2021
DGHySA-320622,Establecimientos y Productos Alimenticios,FLORIDA 1,1,025A,2,10/12/2021
DGHySA-319820,Establecimientos y Productos Alimenticios,LACARRA AV. 1566,54,107,21,10/12/2021
DGHySA-320281,Establecimientos y Productos Alimenticios,LAGUNA 1392,54,123,24,10/12/2021
DGHySA-320624,Establecimientos y Productos Alimenticios,MENDOZA 4399,51,97,18,09/01/2000
DGHySA-320625,Establecimientos y Productos Alimenticios,OLAZABAL AV. 4202,51,97,001C,11/12/2021
DGHySA-320320,Establecimientos y Productos Alimenticios,BOLIVAR 862,4,30,12,11/12/2021
DGHySA-320321,Establecimientos y Productos Alimenticios,CHACABUCO 733,2,10,29,11/12/2021
DGHySA-320268,Establecimientos y Productos Alimenticios,CAÑADA DE GOMEZ 4111,80,051A,1,11/12/2021
DGHySA-320246,Establecimientos y Productos Alimenticios,IRIGOYEN 2207,93,127,19,11/12/2021
DGHySA-320249,Establecimientos y Productos Alimenticios,SIMBRON 5768,93,127,007C,11/12/2021
DGHySA-320125,Establecimientos y Productos Alimenticios,CHILE 419,2,38,25,11/12/2021
DGHySA-320626,Establecimientos y Productos Alimenticios,CHILE 342,2,46,6,11/12/2021
DGHySA-320296,Establecimientos y Productos Alimenticios,BAEZ 444,23,74,3,11/12/2021
DGHySA-320301,Establecimientos y Productos Alimenticios,ARCE 599,23,91,009a,11/12/2021
DGHySA-320222,Establecimientos y Productos Alimenticios,SANCHEZ DE LORIA 96,28,33,8,10/12/2021
DGHySA-320129,Establecimientos y Productos Alimenticios,RIVADAVIA AV. 3539,13,12,24,10/12/2021
DGHySA-320221,Establecimientos y Productos Alimenticios,RIVADAVIA AV. 3352,28,33,31,10/12/2021
DGHySA-320113,Establecimientos y Productos Alimenticios,SANCHEZ DE LORIA 294,28,32,10,10/12/2021
